S.No,Crop,Disease Name,Tamil Control Message
60,Groundnut,BORON DEFICIENCY (நிலக்கடலையில் போரான் சத்து பற்றாக்குறை),அடியுரமாக 5 கிலோ போராக்ஸ் இட்டு உழவேண்டும் போராக்ஸ் (3 கிராம்/லிட்டர்) கரைசலை பூக்கும் மற்றும் காய் பிடிக்கும் பருவங்களில் இலை வழியாக 10 நாட்கள் இடைவெளியில் தெளிக்க வேண்டும்.
61,Gingelly,Damping off / Root Rot (நாற்றழுகல் / வேரழுகல்),விதையை திரம் + கார்பன்டாசிம் (0.05 சதவீதம்) என்ற அளவில் 1:1 என்ற விகிதத்தில் அல்லது 2 கிராம் / கிலோ என்ற அளவில் நேர்த்தி செய்யலாம்.
62,Gingelly,Sesamum phyllody (எள்ளின் பசுமைப் பவுத்திரி நோய்),"ஊடுபயிராக எள் + துவரை (6:1) என்ற விகிதத்தில் பயிரிடலாம். நோயுற்ற செடிகளை அழிக்கவேண்டும். மூன்று முறை டைமீதோயேட் (0.03 சதவீதம்) விதைத்த 30,40 மற்றும் 60வது நாட்களில் தெளித்தால் நோய் பரப்பும் காரணிகளைக் கட்டுப்படுத்தலாம்."
63,Gingelly,powdry mildew (சாம்பல் நோய்),சாம்பல்நோய் சல்பர் தூள் 10 கிலோ ஏக்கருக்கு தூவவும் . மேலும் விவரங்களுக்கு தங்கள் பகுதி வேளாண்மை உதவி இயக்குநர் அலுவலகத்தை தொடர்புகொள்ளவும்.
64,Gingelly,powdery mildew (சாம்பல் நோய்),வயலில் முந்திய பயிரின் கழிவுகள் இல்லாமல் சுத்தமாக வைத்துக்கொள்ளவேண்டும். ஊடுபயிராக எள்+கம்பு (3:1) என்ற விகிதத்தில் பயிரிடலாம். நோய் எதிர்ப்புத் திறனுடைய இரகங்களான ஆர்.டி - 127ஐப் பயிரிடலாம். கரைசல் கந்தகம் (0.2 சதவீதம்) 10 நாள் இடைவெளியில் இரண்டு முறை தெளிக்கவும்.
65,Gingelly,powdery mildew (சாம்பல் நோய்),வயலில் முந்திய பயிரின் கழிவுகள் இல்லாமல் சுத்தமாக வைத்துக்கொள்ளவேண்டும். ஊடுபயிராக எள்+கம்பு (3:1) என்ற விகிதத்தில் பயிரிடலாம். நோய் எதிர்ப்புத் திறனுடைய இரகங்களான ஆர்.டி - 127ஐப் பயிரிடலாம். கரைசல் கந்தகம் (0.2 சதவீதம்) 10 நாள் இடைவெளியில் இரண்டு முறை தெளிக்கவும்.
66,Gingelly,powdery mildew (சாம்பல் நோய்),வயலில் முந்திய பயிரின் கழிவுகள் இல்லாமல் சுத்தமாக வைத்துக்கொள்ளவேண்டும். ஊடுபயிராக எள்+கம்பு (3:1) என்ற விகிதத்தில் பயிரிடலாம். நோய் எதிர்ப்புத் திறனுடைய இரகங்களான ஆர்.டி - 127ஐப் பயிரிடலாம். கரைசல் கந்தகம் (0.2 சதவீதம்) 10 நாள் இடைவெளியில் இரண்டு முறை தெளிக்கவும்.
67,Gingelly,Cercospora leaf spot (செர்கோஸ்போரா இலைப் புள்ளி / வெண்புள்ளி நோய்),"நோய் தாங்கக் கூடிய / எதிர்ப்பு சக்தியுள்ள இரகங்களான TKG - 21 - ஐ பயிரிட வேண்டும். எள் + கம்பு (3:1) பயிர் சுழற்சி செய்ய வேண்டும். பயிர்ச் குலைகளை அழிக்க வேண்டும். திரம் (அ) கார்பன்டாசிம் 2 கி / கிலோ என்ற அளவில் விதை நேர்த்தி செய்ய வேண்டும். மான்கோசெப் (0.25%) என்ற அளவில், நோய் தெரிய ஆரம்பித்தவுடனேயே 3 முறை, 15 நாட்கள் இடைவெளியில் தெளிக்க வேண்டும்."
68,Sunflower,Rhizopus Head Rot (ரைசோபஸ் தலை அழுகல்),"பூக்கும் பருவம் முடியும் முன், பூச்சித்தாக்குதல் மற்றும் பூசணக்கொல்லியை தெளிக்கவேண்டும். முடிந்தவரை தலைப்பகுதிகளில் காயம் ஏற்படாவாறு பாதுகாத்துக்கொள்ளவேண்டும். மேன்கோசெப் 2 கிராம் / லிட்டர் என்ற அளவில் தெளிக்கவேண்டும்."
69,Castor,Wilt (வாடல் நோய்),"2.5 கிலோ டிரைக்கோடெர்மா விரிடியை தொழு உரத்துடன் கலந்து படியுரமிட்டுச் சாகுபடி செய்து, தண்ணீர் தெளித்து பலவிதமான 15 நாள் முளைவந்து பின்பு இரண்டு வாரங்களுக்கு அல்லது கால்களுக்கு போட்டால் இந்நோய் பாதிப்பைத் தடுக்கலாம்."
70,Cotton,Cercospora leaf spot (செர்கோஸ்போரா இலையாப்புள்ளி),"பாதிக்கப்பட்ட தாவரக் குப்பைகளை அகற்றவும். வளர்ச்சி மற்றும் பூக்கும் பருவத்தில் மெட்டாலாக்சில் + பியூரோபென்சமைடு 8% WG 0.1%, 60, 90, மற்றும் 120 வது நாளில் தெளிக்கவும்"
71,Cotton,Grey or Areolate mildew (சாம்பல் (அ) கள்ளிப்பசும் படர்வு நோய்),"கார்பன்டாசிம் 250 கிராம் / எக்டர் அல்லது மேன்கோசெப் @ 1000 கிராம் அல்லது மெட்டாலாக்சில் + பியூரோபென்சமைடு 55% + பியூரோபென்சமைடு 5% WG 0.1% 60, 90, மற்றும் 120 வது நாள் தெளிக்கவும்"
72,Cotton,Alterneria leaf blight (ஆல்டர்னேரியா இலைக்கருகல் நோய்),பாதிக்கப்பட்ட தாவரக் குப்பைகளை அகற்றவும். வளர்ச்சி மற்றும் பூக்கும் பருவத்தில் பியூரோபென்சமைடு 20% WG 2 கி அல்லது மெட்டாலாக்சில் + பியூரோபென்சமைடு 55% + பியூரோபென்சமைடு 5% WG 20 கிராம் மற்றும் 10 லிட்டர் தண்ணீரில் கலந்து தெளிக்கவும்
73,Cotton,sulphur deficiency (கந்தகச் சத்து பற்றாக்குறை),மெக்னீசியம் சல்பேட் 1% இலை வழியாக தெளிக்கவும்
74,Cotton,phosphorus deficiency (மணிச்சத்து குறைபாடு),2% டிஏபி இலை வழியாக தெளிக்கவும்
75,Cotton,Fusarium wilt (ஃபியூசேரியம் வாடல் நோய்),அழியில் மூலம் பஞ்சு நீக்கிய விதைகளை பயன்படுத்தவும். குளோரோமோனாஸ் ப்ளோரசன்ஸ் + பேசில்லஸ் சப்டிலிஸ் + டிரைக்கோடெர்மா அஸ்ஸைலோட்ரம் கலவையை ஒரு கிலோ விதைக்கு 10 கிராம் என்ற அளவில் விதை நேர்த்தி செய்யவும். மேலும் இக்கலவையை ஹெக்டருக்கு 2.5 கிலோ என்ற அளவில் விதைக்கும் போதும் மற்றும் 90 வது நாளிலும் மண்ணில் இடவேண்டும்.
76,Cotton,Anthracnose (ஆந்த்ராக்னோஸ்),"பாதிக்கப்பட்ட தாவரக் குப்பைகளை அகற்றவும். ஆரம்ப நிலையில், மான்கோசெப் (அ) காப்பர் ஆக்ஸிகுளோரைடு 2 கிலோ / எக்டர் 15 நாட்கள் இடைவெளியில் 2 - 3 முறை தெளிக்கவும்"
77,Cotton,Myrothecium leaf spot (மைரோதீசியம் இலைப்புள்ளி நோய்),"பாதிக்கப்பட்ட தாவரக் குப்பைகளை அகற்றவும். ஆரம்ப நிலையில், மான்கோசெப் (அ) காப்பர் ஆக்ஸிகுளோரைடு 2 கிலோ / எக்டர் மருந்தை 15 நாட்கள் இடைவெளியில் 2 - 3 முறை தெளிக்கவும்."
78,Cotton,root rot (வேரழுகல் நோய்),தொழுவுரம் 10 டன் / எக்டர் (அ) வேப்பம் புண்ணாக்கு 2.5 டன் / எக்டர் இடவும். டிரைக்கோடெர்மா விரிடி 4 கிராம் / கிலோ (அ) குளோரோமோனாஸ் ஃபுளோரசன்ஸ் 10 கிராம் / கிலோ விதை நேர்த்தி செய்யவும். மேலும் ஹெக்டருக்கு 2.5 கிலோ என்ற அளவில் விதைக்கும் போதும் மற்றும் 90 வது நாளிலும் மண்ணில் இடவேண்டும். கார்பன்டாசிம் @ 1 கி/லிட்டர் என்ற அளவில் செடியின் அடியில் படும்படி தெளிக்க வேண்டும்.
79,Cotton,potassium deficiency (பருத்தியில் சாம்பல் சத்து பற்றாக்குறை),10 கிராம் பொட்டாசியம் குளோரைடை ஒரு லிட்டர் நீரில் கரைத்து பருத்தி பூக்கும் மற்றும் பருத்தி வெடிக்கும் பருவங்களில் இலை வழியாக அறிகுறிகள் மறையும் வரை தெளிக்க வேண்டும்.
80,Cotton,manganese sulphate deficiency (பருத்தியில் மாங்கனீசு சத்து பற்றாக்குறை),5 கிராம் மாங்கனீசு சல்பேட்டை ஒரு லிட்டர் நீரில் கரைத்து 15 நாட்கள் இடைவெளியில் அறிகுறிகள் மறையும் வரை தெளிக்க வேண்டும்.
81,Cotton,Magnesium deficiency (பருத்தியில் மெக்னீசியம் சத்து பற்றாக்குறை),20 கிராம் மெக்னீசியம் சல்பேட் மற்றும் 10 கிராம் யூரியாவை ஒரு லிட்டர் நீரில் கரைத்து அறிகுறிகள் மறையும் வரை 15 நாட்கள் இடைவெளியில் இலை வழியாக தெளிக்கவேண்டும்.
82,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
83,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
84,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
85,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
86,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
87,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
88,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
89,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
90,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
91,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
92,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
93,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
94,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
95,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
96,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
97,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
98,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
99,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
100,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
101,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
102,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
103,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
104,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
105,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
106,Cotton,boll rot (காயழுகல் நோய்),"போதுமான இடைவெளி விடவும். பரிந்துரைக்கப்பட்ட உர அளவை பயன்படுத்தவும். கார்பன்டாசிம் 2 கிலோ (அ) மான்கோசெப் 2 கிலோ / எக்டர், 45 - ம் நாள் முதல் 15 நாட்களுக்கு ஒருமுறை தெளிக்கவும்."
107,Sugarcane,zinc deficiency (துத்தநாகச்சத்து குறைபாடு),அடி உரமாக துத்தநாக சல்பேட் (25 கிலோ/எக்டர்) இடவேண்டும் துத்தநாக சல்பேட் ( 5 கிராம்/லிட்டர்) கரைசல் 10 நாட்கள் இடைவெளியில் இலை வழியாகத் தெளிக்க வேண்டும்.
108,Sugarcane,red rot (செவ்வழுகல் நோய்),"நோய் கண்ட கரும்பு வயலில் நீர்ப்பாசன வசதியைத் தடுக்க வேண்டும். நோய் தோன்றிய அதே நிலத்தில் கரும்பைத் தொடர்ந்து பயிரிடுவதைத் தவிர்த்து நெல் போன்ற மற்றப் பயிர்களைப் பயிரிட வேண்டும். நோய் எதிர்ப்புச் சக்தியுள்ள கோ 86249, கோ 85019, கோ 93076, கோசி 95071, கோசி 98061, கோ.க 99061 மற்றும் கோ.க 22 இரகங்களைப் பயிரிடுதல் வேண்டும். தூர் அழற்றிய இடத்திலும் அதைச்சுற்றியுள்ள இடங்களிலும் கார்பன்டாசிம் 50 பி.பி.யு பூஞ்சாணக் கொல்லி மருந்தை ஒரு லிட்டர் நீரில் ஒரு கிராம்) என்ற கலந்து ஊற்ற வேண்டும். 1% போர்டோக்ஸ் கலவை அல்லது பிற பூஞ்சாணக் கொல்லி விதைக் கரணை முழுவதும் நனையுமாறு நனைத்து பின் நடலாம்."
109,Tomato,Fusarium Wilt (ஃபியூசேரியம் வாடல்),பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். கார்பன்டாசிம் (0.1%) கொண்டு பாதிக்கப்பட்ட பகுதிகளை மூழ்கச் செய்ய வேண்டும். பயிர்ச் சுழற்சி முறையில் சாராத தாவரங்களை அதாவது தானியங்களைப் பயிரிட வேண்டும்.
110,Tomato,Early Blight (முன் பருவ இலைக்கருகல்),பயிர் குப்பைகளை அகற்றுதல் மற்றும் அழித்தல் பயிரைச் சுற்றியுள்ள களைகளைப் பின்பற்றுவதன் மூலம் நோய் தாக்கத்தை குறைக்கலாம். திரவ்டைனோக் கேப்டன் கூட்டு மருந்தை 0.2% தெளிக்க வேண்டும்.
107,Sugarcane,zinc deficiency (துத்தநாகச்சத்து குறைபாடு),அடி உரமாக துத்தநாக சல்பேட் (25 கிலோ/எக்டர்) இடவேண்டும் துத்தநாக சல்பேட் ( 5 கிராம்/லிட்டர்) கரைசல் 10 நாட்கள் இடைவெளியில் இலை வழியாகத் தெளிக்க வேண்டும்.
108,Sugarcane,red rot (செவ்வழுகல் நோய்),"நோய் கண்ட கரும்பு வயலில் நீர்ப்பாசன வசதியைத் தடுக்க வேண்டும். நோய் தோன்றிய அதே நிலத்தில் கரும்பைத் தொடர்ந்து பயிரிடுவதைத் தவிர்த்து நெல் போன்ற மற்றப் பயிர்களைப் பயிரிட வேண்டும். நோய் எதிர்ப்புச் சக்தியுள்ள கோ 86249, கோ 85019, கோ 93076, கோசி 95071, கோசி 98061, கோ.க 99061 மற்றும் கோ.க 22 இரகங்களைப் பயிரிடுதல் வேண்டும். தூர் அழற்றிய இடத்திலும் அதைச்சுற்றியுள்ள இடங்களிலும் கார்பன்டாசிம் 50 பி.பி.யு பூஞ்சாணக் கொல்லி மருந்தை ஒரு லிட்டர் நீரில் ஒரு கிராம்) என்ற கலந்து ஊற்ற வேண்டும். 1% போர்டோக்ஸ் கலவை அல்லது பிற பூஞ்சாணக் கொல்லி விதைக் கரணை முழுவதும் நனையுமாறு நனைத்து பின் நடலாம்."
109,Tomato,Fusarium Wilt (ஃபியூசேரியம் வாடல்),பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். கார்பன்டாசிம் (0.1%) கொண்டு பாதிக்கப்பட்ட பகுதிகளை மூழ்கச் செய்ய வேண்டும். பயிர்ச் சுழற்சி முறையில் சாராத தாவரங்களை அதாவது தானியங்களைப் பயிரிட வேண்டும்.
110,Tomato,Early Blight (முன் பருவ இலைக்கருகல்),பயிர் குப்பைகளை அகற்றுதல் மற்றும் அழித்தல் பயிரைச் சுற்றியுள்ள களைகளைப் பின்பற்றுவதன் மூலம் நோய் தாக்கத்தை குறைக்கலாம். திரவ்டைனோக் கேப்டன் கூட்டு மருந்தை 0.2% தெளிக்க வேண்டும்.
111,Tomato,Damping off (நாற்றழுகல்),1. தாவரங்களின் கீழ் இருக்கும் தழைத்திலிருக்கும் வெண்மேகப் பூஞ்சைப் படர்ச்சியைப் பார்த்து விதத்தில் தெளிக்க வேண்டும். 2. செல்வியர் நுண்ணுயிரிகளைக் கொண்டு விதை நேர்த்தி செய்தல். 3. நாற்றங்காலில் 0.2% கார்பன்டாசிம் கரைசல் தெளிக்க வேண்டும். 4. மான்கோசெப் 1 கிலோ / ஹெக்டர் அல்லது காப்பர் ஆக்ஸிகுளோரைடு 2 கிலோ / ஹெக்டர் என்ற அளவில் தெளிக்க வேண்டும். 5. நன்கு முற்றிய உரம் பயன்படுத்த வேண்டும். 0.2% மான்கோசெப் கரைசல் தெளிக்க வேண்டும்.
112,Tomato,Bacterial wilt (பாக்டீரியா வாடல் நோய்),பயிர் சுழற்சி முறையில் சாராத தாவரங்களை அதாவது தானியங்களைப் பயிரிட வேண்டும். பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். கார்பன்டாசிம் (0.1%) கொண்டு பாதிக்கப்பட்ட பகுதிகளை மூழ்கச் செய்ய வேண்டும். பயிர்ச் சுழற்சி முறையில் சாராத தாவரங்களை அதாவது தானியங்களைப் பயிரிட வேண்டும்.
113,Tomato,Tomato mosaic virus (TMV) (தக்காளி மொசைக் நோய்),பயிர் சுழற்சி முறையில் சாராத தாவரங்களை அதாவது தானியங்களைப் பயிரிட வேண்டும். பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். கார்பன்டாசிம் (0.1%) கொண்டு பாதிக்கப்பட்ட பகுதிகளை மூழ்கச் செய்ய வேண்டும். பயிர்ச் சுழற்சி முறையில் சாராத தாவரங்களை அதாவது தானியங்களைப் பயிரிட வேண்டும்.
114,Brinjal,little leaf (குட்டி இலை நோய்),1. பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 2. டைமீதோயேட் 30 EC 1 லிட்டர் அல்லது பாஸ்போமிடான் 40 SL 1 லிட்டர் என்ற அளவில் தெளிக்க வேண்டும்.
115,Brinjal,Fusarium wilt (ஃபியூசேரியம் வாடல்),1. பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 2. கார்பன்டாசிம் (0.1%) கொண்டு பாதிக்கப்பட்ட பகுதிகளை மூழ்கச் செய்ய வேண்டும். 3. பயிர்ச் சுழற்சி முறையில் சாராத தாவரங்களை அதாவது தானியங்களைப் பயிரிட வேண்டும்.
116,Brinjal,Bacterial wilt (பாக்டீரியா வாடல் நோய்),1. பயிர் சுழற்சி முறையில் சாராத தாவரங்களை அதாவது தானியங்களைப் பயிரிட வேண்டும். 2. பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 3. கார்பன்டாசிம் (0.1%) கொண்டு பாதிக்கப்பட்ட பகுதிகளை மூழ்கச் செய்ய வேண்டும். 4. பயிர்ச் சுழற்சி முறையில் சாராத தாவரங்களை அதாவது தானியங்களைப் பயிரிட வேண்டும்.
117,Brinjal,Phomopsis blight (ஃபோமோப்சிஸ் கருகல்),1. பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 2. மான்கோசெப் (0.25%) அல்லது குளோரோதாலோனில் (0.2%) தெளிக்க வேண்டும்.
118,Brinjal,Early blight (ஆரம்ப கருகல்),1. பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 2. மான்கோசெப் (0.25%) அல்லது குளோரோதாலோனில் (0.2%) தெளிக்க வேண்டும்.
119,Brinjal,Late blight (பின் கருகல்),1. பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 2. மான்கோசெப் (0.25%) அல்லது குளோரோதாலோனில் (0.2%) தெளிக்க வேண்டும்.
120,Brinjal,Fruit rot (பழம் அழுகல்),1. பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 2. மான்கோசெப் (0.25%) அல்லது குளோரோதாலோனில் (0.2%) தெளிக்க வேண்டும்.
118,Tomato,Leaf curl (இலை சுருள் நோய்),பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 2. மான்கோசெப் (0.25%) அல்லது குளோரோதாலோனில் (0.2%) தெளிக்க வேண்டும்.
119,Chillies,Leaf curl (இலை சுருள் நோய்),பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 2. மான்கோசெப் (0.25%) அல்லது குளோரோதாலோனில் (0.2%) தெளிக்க வேண்டும்.
120,Ribbed gourd,Mosaic (வழுக்கை நோய்),பாதிக்கப்பட்ட செடிகளை அகற்றி அழித்துவிட வேண்டும். 2. மான்கோசெப் (0.25%) அல்லது குளோரோதாலோனில் (0.2%) தெளிக்க வேண்டும்.
121,Potato,Early blight (முன் பருவ இலைப்புள்ளி நோய்),தீங்குள்ள பூச்சிகளை அகற்றிவிட வேண்டும். போர்டாக்ஸ் கலவையை 1000 கிராம் / எக்டர் என்ற அளவில் தெளிக்க வேண்டும். கார்பன்டாசிம் 100 கிராம் அல்லது மான்கோசெப் 200 கிராம் மருந்தை 200 லிட்டர் தண்ணீரில் கலந்து இலைகள் நன்கு நனையும்படி தெளிப்பானால் இந்த நோயினை கட்டுப்படுத்தலாம்.
122,Potato,Late blight (பின் பருவ இலைப்புள்ளி நோய்),தீங்குள்ள பூச்சிகளை அகற்றிவிட வேண்டும். போர்டாக்ஸ் கலவையை 1000 கிராம் / எக்டர் என்ற அளவில் தெளிக்க வேண்டும். கார்பன்டாசிம் 100 கிராம் அல்லது மான்கோசெப் 200 கிராம் மருந்தை 200 லிட்டர் தண்ணீரில் கலந்து இலைகள் நன்கு நனையும்படி தெளிப்பானால் இந்த நோயினை கட்டுப்படுத்தலாம்.
